"class","zipped_size","unzipped_size","label"
"full_bzip2",1254,10740420990,""
"full_bzip2",1888,25290478485,""
"full_bzip2",2838,58567423860,""
"full_bzip2",4271,134255262375,""
"full_bzip2",6399,302934951000,""
"full_bzip2",9599,683898601500,""
"full_bzip2",14415,1545610839390,""
"full_bzip2",21615,3480309493875,""
"full_bzip2",32431,7842297392865,""
"full_bzip2",48639,17651009811600,""
"full_bzip2",72975,39749609595465,""
"full_bzip2",109471,89475968709000,""
"full_bzip2",164210,200471472453105,""
"full_bzip2",246315,448700639931360,""
"full_bzip2",369472,1006040408680395,""
"full_bzip2",554208,2258299781942985,""
"full_bzip2",831314,5073265256469795,""
"full_bzip2",1246970,11402947989699300,""
"full_bzip2",1870456,25638837338522340,""
"full_bzip2",2805685,57660693652422000,""
"full_bzip2",4208528,129696511569946432,""
"full_bzip2",6312791,290284416821750400,""
"full_bzip2_zip64",225,183596940,""
"full_bzip2_zip64",415,917984700,""
"full_bzip2_zip64",669,2753954100,""
"full_bzip2_zip64",1049,7343877600,""
"full_bzip2_zip64",1621,17992500120,""
"full_bzip2_zip64",2477,43420676310,""
"full_bzip2_zip64",3743,102447092520,""
"full_bzip2_zip64",5663,235463075550,""
"full_bzip2_zip64",8575,537021049500,""
"full_bzip2_zip64",12911,1219037782365,""
"full_bzip2_zip64",19391,2761481574540,""
"full_bzip2_zip64",29135,6237843734205,""
"full_bzip2_zip64",43695,14072016962475,""
"full_bzip2_zip64",65551,31718253253635,""
"full_bzip2_zip64",98431,71455194660240,""
"full_bzip2_zip64",147876,160843312233450,""
"full_bzip2_zip64",221894,360149127714495,""
"full_bzip2_zip64",332980,807710227338510,""
"full_bzip2_zip64",499417,1813421125410840,""
"full_bzip2_zip64",749316,4074289199048250,""
"full_bzip2_zip64",1124187,9158347063938240,""
"full_bzip2_zip64",1686220,20593018126310848,""
"full_bzip2_zip64",2529661,46314425801837968,""
"full_bzip2_zip64",3794372,104177695406637824,""
"full_bzip2_zip64",5696951,234093269796476416,""
"full_bzip2_zip64",8547947,523998285653081600,""
"full_bzip2_zip64",12824441,1174937519916124416,""
"full_bzip2_zip64",19238997,2637530492826293248,""
"full_bzip2_zip64",28860817,5925333209708151808,""
"full_bzip2_zip64",43293835,13318342881040848896,""
"full_bzip2_zip64",64943095,29945797464247578624,""
"full_bzip2_zip64",97417053,67347337011381739520,""
"full_bzip2_zip64",146127915,1.51485461710272e+20,""
"full_bzip2_zip64",219402954,3.40154870156069e+20,""
"full_bzip2_zip64",329188977,7.61644479244877e+20,""
"full_bzip2_zip64",493867826,1.7081553442978e+21,""
"full_bzip2_zip64",740886285,3.83504364970272e+21,""
"full_bzip2_zip64",1111414364,8.61640063725293e+21,""
"full_bzip2_zip64",1667206092,1.93682412921602e+22,""
"quoted_deflate",250,139321,""
"quoted_deflate",375,365361,""
"quoted_deflate",562,870072,""
"quoted_deflate",843,2043675,""
"quoted_deflate",1265,4710706,""
"quoted_deflate",1898,10820172,""
"quoted_deflate",2847,24636009,""
"quoted_deflate",4271,55847493,""
"quoted_deflate",6407,126179776,""
"quoted_deflate",9610,282699819,""
"quoted_deflate",14416,634417015,""
"quoted_deflate",21624,1424790145,""
"quoted_deflate",32436,3201876193,""
"quoted_deflate",48654,7198290184,""
"quoted_deflate",72982,16187766040,""
"quoted_deflate",109473,36409199470,""
"quoted_deflate",164210,81901267056,""
"quoted_deflate",246315,183925972224,""
"quoted_deflate",369472,410843118750,""
"quoted_deflate",554209,919929486957,""
"quoted_deflate",831314,2063150540331,""
"quoted_deflate",1246971,4632061764580,""
"quoted_deflate",1870456,10407106022268,""
"quoted_deflate",2805685,23393477110164,""
"quoted_deflate",4208528,52601556810876,""
"quoted_deflate",6312792,118302847035036,""
"quoted_deflate_zip64",250,27865,""
"quoted_deflate_zip64",375,156865,""
"quoted_deflate_zip64",562,462389,""
"quoted_deflate_zip64",843,1207596,""
"quoted_deflate_zip64",1265,3003635,""
"quoted_deflate_zip64",1898,7184156,""
"quoted_deflate_zip64",2847,16833234,""
"quoted_deflate_zip64",4271,38887389,""
"quoted_deflate_zip64",6407,89015544,""
"quoted_deflate_zip64",9610,202166475,""
"quoted_deflate_zip64",14416,456055927,""
"quoted_deflate_zip64",21624,1027890990,""
"quoted_deflate_zip64",32436,2315320728,""
"quoted_deflate_zip64",48654,5213396026,""
"quoted_deflate_zip64",72982,11736263442,""
"quoted_deflate_zip64",109473,26415292950,""
"quoted_deflate_zip64",164210,59447821284,""
"quoted_deflate_zip64",246315,133777172367,""
"quoted_deflate_zip64",369472,300250997818,""
"quoted_deflate_zip64",554209,672391206414,""
"quoted_deflate_zip64",831314,1508126871229,""
"quoted_deflate_zip64",1246971,3386161536958,""
"quoted_deflate_zip64",1870456,7608182372028,""
"quoted_deflate_zip64",2805685,17102415720879,""
"quoted_deflate_zip64",4208528,38456443098115,""
"quoted_deflate_zip64",6312792,86491003676967,""
"quoted_deflate_zip64",9469188,194550777115609,""
"quoted_deflate_zip64",14203782,436258689626390,""
"quoted_deflate_zip64",21305673,977077160757987,""
"quoted_deflate_zip64",31958509,2191678446577966,""
"quoted_deflate_zip64",47937764,4921171201755846,""
"quoted_deflate_zip64",71906647,11057489642306084,""
"quoted_deflate_zip64",107859970,24856644901040880,""
"quoted_deflate_zip64",161789956,55893404111733184,""
"quoted_deflate_zip64",242684934,125709100081488160,""
"quoted_deflate_zip64",364027401,282768898668040928,""
"quoted_deflate_zip64",546041102,633713674932629504,""
"quoted_deflate_zip64",819061653,1419717629240932352,""
"quoted_deflate_zip64",1228592480,3185173086587433984,""
"quoted_deflate_zip64",1842888720,7152867699378046976,""
"42_nonrec",42374,558432,"42.zip"
"42_rec",42374,4507981343026016,"42.zip"
"full_deflate",42374,9636541929,"overlap.zip"
"quoted_deflate",42374,5461307620,"zbsm.zip"
"quoted_deflate",9893524,281395456244934,"zblg.zip"
"quoted_deflate_zip64",45876952,4507981427706459,"zbxl.zip"
